SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,February-15-2017,Condo/Co-op,2827 Pierce St,San Francisco,CA,94123,1990000,3,3.0,Cow Hollow,1886,,1939,18,1055,693,Sold,,,http://www.redfin.com/CA/San-Francisco/2827-Pierce-St-94123/home/1925847,San Francisco MLS,453935,N,Y,37.796101,-122.438994
PAST SALE,February-23-2017,Condo/Co-op,420 Mission Bay Blvd #1203,San Francisco,CA,94158,1835000,2,2.0,Mission Bay,,,2012,10,,812,Sold,,,http://www.redfin.com/CA/San-Francisco/420-Mission-Bay-Blvd-N-94158/unit-1203/home/40519694,San Francisco MLS,453329,N,Y,37.7712178,-122.3879252
PAST SALE,February-24-2017,Condo/Co-op,246 2nd St #905,San Francisco,CA,94111,810000,1,1.0,Yerba Buena,650,,2000,9,1246,532,Sold,,,http://www.redfin.com/CA/San-Francisco/246-2nd-St-94105/unit-905/home/877585,San Francisco MLS,454294,N,Y,37.7857744,-122.3973657
PAST SALE,March-1-2017,Condo/Co-op,33 Pond St,San Francisco,CA,94114,1435000,2,2.0,Eureka Valley/Dolore,,,1900,4,,356,Sold,,,http://www.redfin.com/CA/San-Francisco/33-Pond-St-94114/home/1121153,San Francisco MLS,454178,N,Y,37.76371,-122.432051
PAST SALE,February-28-2017,Townhouse,425 14th St #5,San Francisco,CA,94103,1955000,3,2.5,Mission Dolores,1952,,2001,5,1002,698,Sold,,,http://www.redfin.com/CA/San-Francisco/425-14th-St-94103/unit-5/home/1329518,San Francisco MLS,453525,N,Y,37.7678924,-122.4228112
PAST SALE,February-24-2017,Condo/Co-op,8200 Oceanview Ter #420,San Francisco,CA,94132,650000,2,2.0,Ingleside Heights,948,,2002,9,686,484,Sold,,,http://www.redfin.com/CA/San-Francisco/8200-Ocean-View-Ter-94132/unit-420/home/1762299,San Francisco MLS,454902,N,Y,37.710275,-122.4674343
PAST SALE,March-3-2017,Single Family Residential,2471 41st Ave,San Francisco,CA,94116,950000,2,1.0,Outer Parkside,962,2996,1947,2,988,,Sold,,,http://www.redfin.com/CA/San-Francisco/2471-41st-Ave-94116/home/1992850,San Francisco MLS,451861,N,Y,37.740684,-122.499498
PAST SALE,February-3-2017,Multi-Family (2-4 Unit),4839-4841 Mission St,San Francisco,CA,94112,825000,2,1.0,Excelsior,1925,2086,1909,30,429,,Sold,,,http://www.redfin.com/CA/San-Francisco/4839-Mission-St-94112/home/108517072,San Francisco MLS,448780,N,Y,37.7208102,-122.437333
PAST SALE,February-28-2017,Single Family Residential,639 Joost Ave,San Francisco,CA,94127,1607000,4,2.0,Sunnyside,2443,2495,1900,5,658,,Sold,,,http://www.redfin.com/CA/San-Francisco/639-Joost-Ave-94127/home/1063521,San Francisco MLS,454194,N,Y,37.732089,-122.449795
PAST SALE,February-28-2017,Single Family Residential,1462 Newcomb Ave,San Francisco,CA,94124,800000,2,2.0,Bayview,1746,2500,1922,5,458,,Sold,,,http://www.redfin.com/CA/San-Francisco/1462-Newcomb-Ave-94124/home/1353088,San Francisco MLS,453369,N,Y,37.733969,-122.38704
PAST SALE,February-3-2017,Multi-Family (2-4 Unit),255-257 Connecticut St,San Francisco,CA,94107,2150000,5,2.0,Potrero Hill,,3998,1914,30,,,Sold,,,http://www.redfin.com/CA/San-Francisco/257-Connecticut-St-94107/home/1868363,San Francisco MLS,453081,N,Y,37.7630849,-122.3972786
PAST SALE,February-24-2017,Multi-Family (5+ Unit),3800 Mission St,San Francisco,CA,94110,1850000,4,,Bernal Heights,4610,2495,1910,9,401,,Sold,,,http://www.redfin.com/CA/San-Francisco/3800-Mission-St-94110/home/108416726,San Francisco MLS,448248,N,Y,37.7359309,-122.424525
